year,value_B_USD
1995,11.448877274834505
1996,12.399601891938431
1997,13.71083644317165
1998,13.720773178384352
1999,14.817924762703043
2000,17.084392170720516
2001,15.664183532803202
2002,15.95570109308573
2003,18.92064365379124
2004,22.00029175966424
2005,24.128930664781556
2006,26.513520909059586
2007,31.105489268224424
2008,38.655167938950164
2009,31.54740173553603
2010,38.050794930244216
2011,42.579981982099724
2012,42.213714116504825
2013,44.97900276062013
2014,47.11608960813958
2015,47.0666455933845
2016,48.455398913015394
2017,55.470482350103374
2018,64.0854512525643
