year,exporter_continent,value_B_USD,exporter_continent_nl
1995,Africa,0.05055333170657119,Afrika
1995,Antarctica,1.6930000000000001e-6,Antarctica
1995,Asia,4.741009497896385,Azië
1995,Europe,4.667357945674341,Europa
1995,North America,1.5944560892817565,Noord-Amerika
1995,Oceania,0.0236015283653854,Oceanië
1995,South America,0.08166010237269232,Zuid-Amerika
1996,Africa,0.056890151772126765,Afrika
1996,Antarctica,3.148e-6,Antarctica
1996,Asia,4.9913769185184576,Azië
1996,Europe,5.0392399023421435,Europa
1996,North America,1.8698254128177676,Noord-Amerika
1996,Oceania,0.02929812345115407,Oceanië
1996,South America,0.07677125696368128,Zuid-Amerika
1997,Africa,0.06792794571786388,Afrika
1997,Antarctica,4.79036590122082e-6,Antarctica
1997,Asia,5.602974114098552,Azië
1997,Europe,5.15643642723922,Europa
1997,North America,2.384104374055347,Noord-Amerika
1997,Oceania,0.027530278315038546,Oceanië
1997,South America,0.09268105394191244,Zuid-Amerika
1998,Africa,0.04662020706367654,Afrika
1998,Antarctica,1.04167557575163e-6,Antarctica
1998,Asia,5.755727553969788,Azië
1998,Europe,5.2539680529152335,Europa
1998,North America,2.181529115827766,Noord-Amerika
1998,Oceania,0.023467446784698177,Oceanië
1998,South America,0.09660154944932256,Zuid-Amerika
1999,Africa,0.044534780426517706,Afrika
1999,Antarctica,2.465775599438109e-5,Antarctica
1999,Asia,6.798745449792245,Azië
1999,Europe,5.148757839615532,Europa
1999,North America,2.3303522708660083,Noord-Amerika
1999,Oceania,0.02645728833913568,Oceanië
1999,South America,0.0866102177248319,Zuid-Amerika
2000,Africa,0.0513126462537289,Afrika
2000,Antarctica,1.7383e-5,Antarctica
2000,Asia,8.480185645955604,Azië
2000,Europe,5.1939295971650985,Europa
2000,North America,2.803779486770026,Noord-Amerika
2000,Oceania,0.026215856685528175,Oceanië
2000,South America,0.09988829647919145,Zuid-Amerika
2001,Africa,0.048522619870643637,Afrika
2001,Antarctica,2.574027579720692e-5,Antarctica
2001,Asia,7.068539022529182,Azië
2001,Europe,5.276623107193567,Europa
2001,North America,2.6952494036169727,Noord-Amerika
2001,Oceania,0.027383524486358186,Oceanië
2001,South America,0.11460005432467685,Zuid-Amerika
2002,Africa,0.06237709089782669,Afrika
2002,Asia,7.620161239409529,Azië
2002,Europe,5.310659324709607,Europa
2002,North America,2.3449751643058185,Noord-Amerika
2002,Oceania,0.028353946028693067,Oceanië
2002,South America,0.09196237347280567,Zuid-Amerika
2003,Africa,0.07282415891567182,Afrika
2003,Antarctica,4.468383250421037e-5,Antarctica
2003,Asia,9.343640496048492,Azië
2003,Europe,6.238682493955226,Europa
2003,North America,2.383283996053409,Noord-Amerika
2003,Oceania,0.029983117876075514,Oceanië
2003,South America,0.1211241277459547,Zuid-Amerika
2004,Africa,0.08932250120830364,Afrika
2004,Antarctica,2.92557937174913e-6,Antarctica
2004,Asia,11.356137510105926,Azië
2004,Europe,7.173446338162342,Europa
2004,North America,2.491567711850113,Noord-Amerika
2004,Oceania,0.028965621848841706,Oceanië
2004,South America,0.16537734219206804,Zuid-Amerika
2005,Africa,0.08772119205440843,Afrika
2005,Antarctica,1.968798899804897e-4,Antarctica
2005,Asia,13.075301331102034,Azië
2005,Europe,7.317782984845372,Europa
2005,North America,2.8028836925914336,Noord-Amerika
2005,Oceania,0.02899274305093654,Oceanië
2005,South America,0.22462160655994592,Zuid-Amerika
2006,Africa,0.10588080866909524,Afrika
2006,Antarctica,8.8344557602391e-6,Antarctica
2006,Asia,14.826646643989255,Azië
2006,Europe,7.849904227388395,Europa
2006,North America,2.9546063976539743,Noord-Amerika
2006,Oceania,0.02619763563969469,Oceanië
2006,South America,0.24458602387305262,Zuid-Amerika
2007,Africa,0.1336751497908755,Afrika
2007,Antarctica,2.848246401587883e-4,Antarctica
2007,Asia,16.148861374482237,Azië
2007,Europe,10.212009588413878,Europa
2007,North America,3.671610128917178,Noord-Amerika
2007,Oceania,0.039936306191400366,Oceanië
2007,South America,0.30751533444522694,Zuid-Amerika
2008,Africa,0.18729993242044696,Afrika
2008,Antarctica,3.134923000779844e-4,Antarctica
2008,Asia,21.67448590270992,Azië
2008,Europe,11.831519434015787,Europa
2008,North America,3.8588167835497793,Noord-Amerika
2008,Oceania,0.04682810006739951,Oceanië
2008,South America,0.3354242583419289,Zuid-Amerika
2009,Africa,0.18917451814088154,Afrika
2009,Antarctica,0.0037597006544197124,Antarctica
2009,Asia,17.876221264000236,Azië
2009,Europe,9.394796361497646,Europa
2009,North America,3.13483077521536,Noord-Amerika
2009,Oceania,0.04762838932037814,Oceanië
2009,South America,0.25825813645933465,Zuid-Amerika
2010,Africa,0.17189047348057265,Afrika
2010,Antarctica,0.002369426067255148,Antarctica
2010,Asia,21.676465739673457,Azië
2010,Europe,11.152103447105825,Europa
2010,North America,3.938628964553713,Noord-Amerika
2010,Oceania,0.041328440210987666,Oceanië
2010,South America,0.2775057334296788,Zuid-Amerika
2011,Africa,0.19702351374985017,Afrika
2011,Antarctica,6.64579815995553e-4,Antarctica
2011,Asia,23.6335454344851,Azië
2011,Europe,13.105460545965332,Europa
2011,North America,4.568819389336594,Noord-Amerika
2011,Oceania,0.04715192694171375,Oceanië
2011,South America,0.3395670766716442,Zuid-Amerika
2012,Africa,0.2462651412512965,Afrika
2012,Antarctica,5.204527796586426e-4,Antarctica
2012,Asia,24.092321109863082,Azië
2012,Europe,12.312194161294524,Europa
2012,North America,4.557392659993293,Noord-Amerika
2012,Oceania,0.05838610704321933,Oceanië
2012,South America,0.293218691085904,Zuid-Amerika
2013,Africa,0.2881047307879874,Afrika
2013,Antarctica,6.3627e-5,Antarctica
2013,Asia,24.87956733139921,Azië
2013,Europe,13.755096649908921,Europa
2013,North America,5.119596134966789,Noord-Amerika
2013,Oceania,0.0593561313034184,Oceanië
