year,value_B_USD
1995,0.14456041868815456
1996,0.1456389367488062
1997,0.1338167930099268
1998,0.12877352342220075
1999,0.1282795586525297
2000,0.1408860602097506
2001,0.14189308025998124
2002,0.14610198387631385
2003,0.16752107930795823
2004,0.19588131506246528
2005,0.24239566332371568
2006,0.3333011543869935
2007,0.47890621896782204
2008,0.5330727842147182
2009,0.35005413306938393
2010,0.45854619667856295
2011,0.5329829506117719
2012,0.6020523707301562
2013,0.5887076796831109
2014,0.6626707265930065
2015,0.7201762491252349
2016,1.3613904169943982
2017,1.9468749601295163
2018,2.8093187689678514
