year,exporter_continent,value_B_USD,exporter_continent_nl
1995,Africa,5.635470000000001e-4,Afrika
1995,Asia,0.0277704892471035,Azië
1995,Europe,0.035165616903670656,Europa
1995,North America,0.041770379111078546,Noord-Amerika
1995,Oceania,3.8982138955796096e-5,Oceanië
1995,South America,0.03904791028734605,Zuid-Amerika
1996,Africa,4.0147400923892e-4,Afrika
1996,Asia,0.021552630079515273,Azië
1996,Europe,0.03345713247000408,Europa
1996,North America,0.05061179447722208,Noord-Amerika
1996,Oceania,1.5944374406131953e-4,Oceanië
1996,South America,0.03936457496876455,Zuid-Amerika
1997,Africa,1.0954187680234965e-4,Afrika
1997,Asia,0.01371152025405092,Azië
1997,Europe,0.029925365731496206,Europa
1997,North America,0.046590012249689616,Noord-Amerika
1997,Oceania,9.222671606178291e-4,Oceanië
1997,South America,0.04174170629889929,Zuid-Amerika
1998,Africa,1.401261562846925e-4,Afrika
1998,Asia,0.014330192840459745,Azië
1998,Europe,0.026530032936540555,Europa
1998,North America,0.032951229189800035,Noord-Amerika
1998,Oceania,0.0010991732486389444,Oceanië
1998,South America,0.05288098077218921,Zuid-Amerika
1999,Africa,3.3183549674127575e-5,Afrika
1999,Asia,0.012849484750543884,Azië
1999,Europe,0.023945414255248668,Europa
1999,North America,0.03428742811448158,Noord-Amerika
1999,Oceania,4.3163245178200063e-4,Oceanië
1999,South America,0.05628467570605247,Zuid-Amerika
2000,Africa,3.113603831212201e-5,Afrika
2000,Asia,0.01601089843001909,Azië
2000,Europe,0.025200859276168275,Europa
2000,North America,0.03799178294033179,Noord-Amerika
2000,Oceania,0.0015639672394229156,Oceanië
2000,South America,0.059789901331436454,Zuid-Amerika
2001,Africa,9.16555021656583e-5,Afrika
2001,Asia,0.01690263140820793,Azië
2001,Europe,0.027464162212320703,Europa
2001,North America,0.035511499512550226,Noord-Amerika
2001,Oceania,0.0015374467768105079,Oceanië
2001,South America,0.060194135080802985,Zuid-Amerika
2002,Africa,1.1161073788521052e-4,Afrika
2002,Asia,0.016186856567702565,Azië
2002,Europe,0.027223351466544726,Europa
2002,North America,0.03690359154339626,Noord-Amerika
2002,Oceania,9.250818390069024e-4,Oceanië
2002,South America,0.06417490917220212,Zuid-Amerika
2003,Africa,5.593488919536548e-5,Afrika
2003,Asia,0.018186172896378226,Azië
2003,Europe,0.0333834132049136,Europa
