year,exporter_name,value_B_USD,exporter_name_nl
1995,Argentina,6.07500980564285e-6,Argentinië
1995,Belgium-Luxembourg,6.087581394013568e-4,Bel-Lux
1995,Canada,2.694201498096227e-4,Canada
1995,Chile,0.03903839435922634,Chili
1995,China,0.0187311259886393,China
1995,Germany,0.01509697507532389,Duitsland
1995,Netherlands,0.003921916197221154,Nederland
1995,Russian Federation,0.013012524817441567,Rusland
1995,United Kingdom,0.003535740863920475,VK
1995,USA,0.04150095896126892,VS
1996,Belgium-Luxembourg,4.0681399921083355e-4,Bel-Lux
1996,Canada,1.6792375186657337e-5,Canada
1996,Chile,0.039296331895287244,Chili
1996,China,0.015822974794120297,China
1996,Germany,0.017843102589790792,Duitsland
1996,Netherlands,0.002294468619281539,Nederland
1996,Russian Federation,0.00873277438465827,Rusland
1996,United Kingdom,0.0028726201370809575,VK
1996,USA,0.050575536102035426,VS
1997,Argentina,9.09897e-4,Argentinië
1997,Belgium-Luxembourg,0.005549698696921118,Bel-Lux
1997,Canada,3.106662462334429e-4,Canada
1997,Chile,0.04083180929889929,Chili
1997,China,0.007271513782303011,China
1997,Germany,0.010983543752322737,Duitsland
1997,Netherlands,0.0025017960008463114,Nederland
1997,Russian Federation,0.007812852296028936,Rusland
1997,United Kingdom,0.0024716904451192855,VK
1997,USA,0.04622288715662951,VS
1998,Argentina,0.011294891790294541,Argentinië
1998,Belgium-Luxembourg,0.005721847939676144,Bel-Lux
1998,Canada,4.329190021537765e-4,Canada
1998,Chile,0.04157336947341651,Chili
1998,China,0.009525810362955562,China
1998,Germany,0.0071410165969335625,Duitsland
1998,Netherlands,0.0016344442637890684,Nederland
1998,Russian Federation,0.005719561919557196,Rusland
1998,United Kingdom,0.002201067607748989,VK
1998,USA,0.03246146844530851,VS
1999,Argentina,0.002512518172174486,Argentinië
1999,Belgium-Luxembourg,0.006400473042643083,Bel-Lux
1999,Canada,3.15887397151583e-4,Canada
1999,Chile,0.053718284599390764,Chili
1999,China,0.008967431962831625,China
1999,Germany,0.007855057232387674,Duitsland
1999,Netherlands,0.0012305179713799352,Nederland
1999,Russian Federation,0.004236525627848665,Rusland
1999,United Kingdom,0.002030139466048721,VK
1999,USA,0.03395447771733,VS
2000,Argentina,0.002829507065922779,Argentinië
2000,Belgium-Luxembourg,0.007396969763774057,Bel-Lux
2000,Canada,6.962043054731411e-4,Canada
2000,Chile,0.05695851426551368,Chili
2000,China,0.010144484604826295,China
2000,Germany,0.007852122029474318,Duitsland
2000,Netherlands,0.0013362309487057718,Nederland
2000,Russian Federation,0.006964702850908638,Rusland
2000,United Kingdom,0.0017925645482991263,VK
2000,USA,0.03724403063485866,VS
2001,Argentina,0.0024450259214904052,Argentinië
2001,Belgium-Luxembourg,0.0077001416761507445,Bel-Lux
2001,Canada,3.806920712934971e-4,Canada
2001,Chile,0.057747870159312584,Chili
2001,China,0.010139733590199578,China
2001,Germany,0.007923622899816515,Duitsland
2001,Netherlands,0.0018568586541721534,Nederland
2001,Russian Federation,0.008780295448667798,Rusland
2001,United Kingdom,0.0017536008345595822,VK
2001,USA,0.03499438325298007,VS
2002,Argentina,0.0010759824024566358,Argentinië
2002,Belgium-Luxembourg,0.009986170057097194,Bel-Lux
2002,Canada,4.590717876931545e-4,Canada
2002,Chile,0.06309536076974548,Chili
2002,China,0.009495617627049886,China
2002,Germany,0.007355332091462813,Duitsland
2002,Netherlands,0.0010885842402649471,Nederland
2002,Russian Federation,0.007525196198851629,Rusland
2002,United Kingdom,0.0012702531479778245,VK
2002,USA,0.036349622329423945,VS
2003,Argentina,0.0061219461171498546,Argentinië
2003,Belgium-Luxembourg,0.011295553077315562,Bel-Lux
2003,Canada,0.0019420501773673904,Canada
2003,Chile,0.072147241671741,Chili
2003,China,0.011053521817334717,China
2003,Germany,0.010802201606378776,Duitsland
2003,Netherlands,0.0010285886362209017,Nederland
2003,Russian Federation,0.009185275013175802,Rusland
2003,United Kingdom,0.002306878380370471,VK
2003,USA,0.0343493584446515,VS
2004,Argentina,0.013110069189490856,Argentinië
2004,Belgium-Luxembourg,0.014852367353741897,Bel-Lux
2004,Canada,0.0033164761248702197,Canada
2004,Chile,0.0789284244274802,Chili
2004,China,0.009317436628158031,China
2004,Germany,0.011602457715125237,Duitsland
2004,Netherlands,0.001100618124402644,Nederland
2004,Russian Federation,0.015440034157785606,Rusland
2004,United Kingdom,0.0014000857715489754,VK
2004,USA,0.038311896642207896,VS
2005,Argentina,0.016718553929285198,Argentinië
2005,Belgium-Luxembourg,0.019102162151133858,Bel-Lux
2005,Canada,0.0018962353745871606,Canada
2005,Chile,0.1001956416997009,Chili
2005,China,0.014497748620905903,China
2005,Germany,0.014209486150715808,Duitsland
2005,Netherlands,0.001451210522866928,Nederland
2005,Russian Federation,0.02215559080298533,Rusland
2005,United Kingdom,0.001677761721865204,VK
2005,USA,0.03974791353524147,VS
2006,Argentina,0.026683542578040724,Argentinië
2006,Belgium-Luxembourg,0.02457366351727008,Bel-Lux
2006,Canada,0.0032279536184100528,Canada
2006,Chile,0.15033038514416916,Chili
2006,China,0.026893016219371155,China
2006,Germany,0.019801577749083466,Duitsland
2006,Netherlands,0.002267942933048655,Nederland
2006,Russian Federation,0.014204026628177598,Rusland
2006,United Kingdom,0.003684581458878264,VK
2006,USA,0.044856097647037414,VS
2007,Argentina,0.03376048870190422,Argentinië
2007,Belgium-Luxembourg,0.04010285494527067,Bel-Lux
2007,Canada,0.006174133444284891,Canada
2007,Chile,0.23341372491840548,Chili
2007,China,0.05180404452868662,China
2007,Germany,0.025089203573812724,Duitsland
2007,Netherlands,0.005121436122620218,Nederland
2007,Russian Federation,0.004838196867929731,Rusland
2007,United Kingdom,0.0032368621605847305,VK
2007,USA,0.05746566497396111,VS
2008,Argentina,0.051707830449777635,Argentinië
2008,Belgium-Luxembourg,0.03087207870330909,Bel-Lux
2008,Canada,0.0036061566151699784,Canada
2008,Chile,0.27543360669871797,Chili
2008,China,0.036791330407936286,China
2008,Germany,0.035276145997357976,Duitsland
2008,Netherlands,0.006964530644116436,Nederland
2008,Russian Federation,0.0042919976888268424,Rusland
2008,United Kingdom,0.0023718609159872573,VK
2008,USA,0.06417189789958239,VS
2009,Argentina,0.040694560271231715,Argentinië
2009,Belgium-Luxembourg,0.0221736529155915,Bel-Lux
